Wine Name,Year,Winery,Rating,num_review,Price,Region,Country,Flavour group 1,Flavour group 2,Flavour group 3,Grapes 1,Grapes 2,Acidity,Sweetness,Intensity,Type
Barolo Ciabot Minat Riserva ,2010.0,Attilio Ghisolfi,4.3,129,360.0,Barolo,Italy,red_fruit,earth,oak,nebbiolo,0,5.0,1.0,4.0,red wine
Weisser Burgunder Trocken ,2023.0,Weingut Geil,3.9,1873,40.050000000000004,Rheinhessen,Germany,tree_fruit,earth,citrus_fruit,pinot-blanc,0,4.0,1.0,3.0,white wine
Le Soleil ,2019.0,Château Moyau,3.6,118,40.050000000000004,La Clape,France,black_fruit,red_fruit,spices,shiraz-syrah,grenache-noir,4.0,1.0,4.0,red wine
Reuilly Rouge Fût de Chêne ,2020.0,Henri Beurdin,3.5,158,58.050000000000004,Reuilly,France,tree_fruit,citrus_fruit,vegetal,cabernet-franc,pinot-noir,4.5,1.0,2.5,red wine
Rully 'La Chaponniere' ,2018.0,Domaine Borgeot,3.8,107,125.55,Rully,France,oak,microbio,citrus_fruit,chardonnay,aligote,2.5,1.0,3.0,white wine
Chassagne-Montrachet 1er Cru 'Morgeot' ,2022.0,Domaine Borgeot,4.1,136,405.0,Chassagne-Montrachet 1er Cru 'Morgeot',France,oak,microbio,citrus_fruit,chardonnay,pinot-gris,3.0,1.0,4.0,white wine
Cuvée Garnacho Séguret ,2021.0,Domaine de Cabasse,3.6,407,71.55,Côtes-du-Rhône-Villages 'Seguret',France,red_fruit,earth,oak,shiraz-syrah,grenache-noir,3.5,1.0,4.0,red wine
Spätburgunder Blanc de Noirs Trocken ,2023.0,Schlossmühlenhof,3.8,135,35.550000000000004,Rheinhessen,Germany,earth,red_fruit,citrus_fruit,pinot-noir,0,4.5,1.5,1.5,white wine
Edition Riesling Trocken ,2023.0,Prinz,3.5,46,48.6,Rheingau,Germany,tree_fruit,citrus_fruit,earth,riesling,0,5.0,1.0,3.0,white wine
Zeltinger Sonnenuhr Riesling Feinherb Ur Alte Reben ,2022.0,Selbach-Oster,4.0,444,133.65,Mosel,Germany,earth,tree_fruit,citrus_fruit,riesling,0,5.0,1.0,3.0,white wine
Classic Grauer Burgunder Trocken ,2023.0,Weinhaus Flick,3.5,89,31.05,Rheinhessen,Germany,tree_fruit,vegetal,citrus_fruit,pinot-gris,0,2.5,1.5,3.0,white wine
Montepulciano d'Abruzzo ,2015.0,Gianni Masciarelli,3.6,781,211.5,Montepulciano d'Abruzzo,Italy,red_fruit,oak,earth,montepulciano-d-abruzzo,0,4.0,1.0,2.5,red wine
Le Domaine Chinon Blanc ,2020.0,Bernard Baudry,3.8,42,112.05,Chinon,France,earth,tree_fruit,citrus_fruit,chenin-blanc,0,5.0,1.0,2.0,white wine
Les Mûriers Languedoc ,2020.0,Mas Bruguiere,4.1,38,76.5,Languedoc,France,tree_fruit,citrus_fruit,spices,grenache-blanc,bourboulenc,2.5,1.0,3.0,white wine
Pauillac de Croizet-Bages ,2015.0,Château Croizet-Bages,3.8,432,168.75,Pauillac,France,earth,oak,black_fruit,cabernet-sauvignon,cabernet-franc,4.5,1.0,4.5,red wine
Le Bailly de Camensac Haut-Médoc ,2012.0,Château de Camensac,3.6,63,148.5,Haut-Médoc,France,earth,0,0,cabernet-sauvignon,cabernet-franc,4.0,1.0,4.5,red wine
Sauternes ,2011.0,Château Liot,3.7,54,85.5,Sauternes,France,earth,tree_fruit,citrus_fruit,sauvignon-blanc,semillion,4.5,5.0,5.0,dessert wine
Le Bailly de Camensac Haut-Médoc ,2016.0,Château de Camensac,3.6,63,140.4,Haut-Médoc,France,earth,0,0,cabernet-sauvignon,cabernet-franc,4.0,1.0,4.5,red wine
Bordeaux ,2015.0,Chateau La Lagune Gachet,3.4,34,297.0,Bordeaux,France,earth,0,0,cabernet-sauvignon,cabernet-franc,4.0,1.0,4.0,red wine
Graves ,2022.0,Château Haura,3.7,3477,55.62,Graves,France,oak,earth,black_fruit,cabernet-sauvignon,cabernet-franc,4.5,1.0,4.5,red wine
Le Rose by Latour-Martillac ,2017.0,Château Latour-Martillac,3.6,44,151.20000000000002,Bordeaux,France,black_fruit,oak,vegetal,cabernet-sauvignon,cabernet-franc,4.5,1.5,3.0,rose
Blanc de Chasse-Spleen Bordeaux ,2012.0,Château Chasse-Spleen,3.9,122,226.79999999999998,Bordeaux,France,citrus_fruit,earth,oak,sauvignon-blanc,semillion,2.5,1.5,4.0,white wine
Bordeaux Supérieur ,2021.0,Château l'Isle Fort,3.9,1674,54.0,Bordeaux Supérieur,France,oak,black_fruit,non_oak,cabernet-sauvignon,cabernet-franc,4.0,1.0,4.0,red wine
Chardonnay Prestige Cuvée ,2019.0,Bon Courage,3.8,135,49.050000000000004,Robertson,South Africa,oak,citrus_fruit,non_oak,chardonnay,0,3.5,1.5,4.0,white wine
Shiraz ,2018.0,Kranskop,3.5,228,47.25,Robertson,South Africa,oak,spices,black_fruit,shiraz-syrah,0,3.5,1.0,4.5,red wine
Cabernet Sauvignon ,2020.0,Arendsig,3.9,141,71.55,Western Cape,South Africa,oak,black_fruit,earth,cabernet-sauvignon,0,4.0,1.0,4.5,red wine
Chenin No. 5 Chenin Blanc ,2023.0,Van Loveren,3.8,45,35.550000000000004,Robertson,South Africa,tropical_fruit,tree_fruit,citrus_fruit,chenin-blanc,0,4.5,1.0,2.5,white wine
Pinotage - Syrah ,2018.0,Anura,3.7,90,51.75,Stellenbosch,South Africa,oak,black_fruit,non_oak,shiraz-syrah,cabernet-sauvignon,3.0,1.0,5.0,red wine
Inspirational Batch 2 Grenache ,2019.0,Arendsig,3.9,30,76.05,Western Cape,South Africa,red_fruit,earth,black_fruit,grenache-noir,0,3.0,2.0,3.5,red wine
Pinot Noir ,2014.0,Quando,3.6,140,58.050000000000004,Robertson,South Africa,red_fruit,earth,oak,pinot-noir,0,3.5,1.0,3.0,red wine
DMZ Syrah ,2017.0,DeMorgenzon,3.7,212,62.550000000000004,Stellenbosch,South Africa,spices,oak,black_fruit,shiraz-syrah,0,3.5,1.0,4.5,red wine
Inkará Limited Release Pinot Noir ,2016.0,Bon Courage,3.7,98,89.55,Robertson,South Africa,oak,earth,red_fruit,pinot-noir,0,3.5,1.0,3.0,red wine
Cabernet Franc ,2019.0,Tanagra,4.0,202,67.05,McGregor,South Africa,oak,black_fruit,non_oak,cabernet-franc,0,3.5,1.0,3.5,red wine
Shiraz ,2022.0,Arendsig,4.0,144,71.55,Western Cape,South Africa,spices,black_fruit,red_fruit,shiraz-syrah,0,3.5,1.0,4.5,red wine
Inspirational Batch 2 Grenache ,2018.0,Arendsig,3.9,60,76.05,Western Cape,South Africa,red_fruit,earth,black_fruit,grenache-noir,0,3.0,2.0,3.5,red wine
Like Father Like Son Chenin Blanc ,2022.0,Bon Courage,3.6,28,33.75,Robertson,South Africa,tropical_fruit,citrus_fruit,vegetal,chenin-blanc,0,4.5,1.0,2.5,white wine
Signature Sauvignon Blanc ,2022.0,Spier,3.6,468,35.550000000000004,Western Cape,South Africa,tropical_fruit,citrus_fruit,vegetal,sauvignon-blanc,0,4.0,1.0,2.5,white wine
Reserve Malbec ,2021.0,Anura,4.3,73,89.55,Stellenbosch,South Africa,black_fruit,oak,spices,malbec,0,2.5,1.5,4.0,red wine
Legato Merlot - Cabernet Sauvignon ,2018.0,Anura,3.6,130,51.75,Stellenbosch,South Africa,oak,black_fruit,non_oak,cabernet-sauvignon,cabernet-franc,4.0,1.0,4.0,red wine
Chardonnay ,2022.0,Kranskop,3.6,130,42.75,Robertson,South Africa,citrus_fruit,tropical_fruit,oak,chardonnay,0,3.5,1.5,4.0,white wine
Arpeggio ,2020.0,Anura,3.7,649,53.550000000000004,Stellenbosch,South Africa,black_fruit,oak,red_fruit,shiraz-syrah,grenache-noir,3.0,1.5,4.0,red wine
Riesling Feinherb ,2022.0,Kruger-Rumpf,4.1,37,51.75,Nahe,Germany,tree_fruit,earth,vegetal,riesling,0,5.0,1.0,3.0,white wine
Château Les Vergnes Bordeaux Rouge ,2016.0,Univitis,3.3,170,32.76,Bordeaux,France,black_fruit,oak,earth,cabernet-sauvignon,cabernet-franc,4.0,1.0,4.0,red wine
Les Adrets Rosé ,2021.0,Moulin de la Roque,3.5,332,74.02499999999999,Bandol,France,tree_fruit,citrus_fruit,red_fruit,shiraz-syrah,grenache-noir,4.0,1.0,2.5,rose
Amountanage Rouge ,2022.0,Marrenon,3.6,753,32.085,Luberon,France,black_fruit,red_fruit,spices,shiraz-syrah,grenache-noir,3.5,1.0,4.0,red wine
Cuvée Tradition Chardonnay ,2021.0,Château Los Boldos,3.4,867,40.410000000000004,Cachapoal Valley,Chile,oak,tropical_fruit,citrus_fruit,chardonnay,0,1.0,3.0,4.0,white wine
Pinot Grigio ,2023.0,Selva Volpina,3.6,195,22.05,Umbria,Italy,citrus_fruit,vegetal,tree_fruit,trebbiano,verdicchio,4.0,2.0,3.0,white wine
Aloxe-Corton 1er Cru 'Les Chaillots' ,2015.0,Domaine Arnoux Père & Fils,3.7,26,161.59499999999997,Aloxe-Corton 1er Cru 'Les Chaillots',France,earth,black_fruit,red_fruit,pinot-noir,0,4.0,1.0,2.5,red wine
Chenin Blanc ,2021.0,Neethlingshof Estate,3.7,142,62.550000000000004,Stellenbosch,South Africa,tree_fruit,tropical_fruit,citrus_fruit,chenin-blanc,0,4.5,1.0,2.5,white wine
Rioja Crianza ,2017.0,Viña Salceda,3.8,1718,66.015,Rioja,Spain,oak,non_oak,black_fruit,tempranillo,graciano,4.0,1.0,4.0,red wine
Primitivo di Manduria ,2022.0,Colle Al Vento,3.9,892,35.550000000000004,Primitivo di Manduria,Italy,black_fruit,oak,red_fruit,primitivo,0,1.5,2.5,4.0,red wine
Lago della Pergola Negroamaro ,2018.0,Vetrère,4.1,30,71.55,Pergola,Italy,black_fruit,oak,spices,sangiovese,montepulciano-d-abruzzo,3.0,1.0,3.0,red wine
La Font Louisiane Côtes du Rhône Rouge ,2022.0,Gigondas La Cave,3.4,317,29.160000000000004,Côtes-du-Rhône,France,red_fruit,earth,black_fruit,shiraz-syrah,grenache-noir,3.5,1.0,4.0,red wine
Manchuela ,2010.0,Finca Sandoval,3.9,202,145.89000000000001,Manchuela,Spain,oak,earth,black_fruit,shiraz-syrah,0,3.0,1.0,4.0,red wine
Petit Verdot ,2017.0,Finca Antigua,3.7,80,54.0,La Mancha,Spain,oak,black_fruit,spices,grenache-noir,tempranillo,3.0,1.0,4.0,red wine
Primevigne Barbera d'Asti ,2019.0,Cascina San Michele,4.1,35,62.550000000000004,Barbera d'Asti,Italy,black_fruit,earth,oak,barbera,0,4.0,1.0,3.5,red wine
Estate Vineyards Syrah (Shiraz) ,2012.0,Rust En Vrede,4.2,844,441.0,Stellenbosch,South Africa,oak,spices,black_fruit,shiraz-syrah,0,3.5,1.0,4.5,red wine
Chardonnay ,2020.0,Boschkloof,3.7,92,71.55,Stellenbosch,South Africa,oak,citrus_fruit,microbio,chardonnay,0,3.5,1.5,4.0,white wine
Signature ,2011.0,Ernie Els,4.1,216,368.55,Stellenbosch,South Africa,oak,earth,black_fruit,cabernet-sauvignon,cabernet-franc,4.0,1.0,4.0,red wine
